"full_date","speechtitle","hyperlink","name","position_cat1","type"
1997-03-20,"Restrictions on securities underwriting and dealing","http://www.federalreserve.gov/boarddocs/testimony/1997/19970320.htm","Susan M. Phillips","Governor","Senate"
1997-03-22,"Financial reform and the importance of a decentralized banking structure","http://www.federalreserve.gov/boarddocs/speeches/1997/19970322.htm","Alan Greenspan","3","Public"
1997-04-04,"The challenges of macroeconomic policy","http://www.federalreserve.gov/boarddocs/speeches/1997/19970404.htm","Alice M. Rivlin","2","Public"
1997-04-10,"Issues in financial modernization","http://www.federalreserve.gov/boarddocs/speeches/1997/19970410.htm","Laurence H. Meyer","1","Public"
1997-04-12,"The evolution of banking in a market economy","http://www.federalreserve.gov/boarddocs/speeches/1997/19970412.htm","Alan Greenspan","3","Public"
1997-04-15,"Reform of derivatives regulations under the Commodity Exchange Act","http://www.federalreserve.gov/boarddocs/testimony/1997/19970415.htm","Susan M. Phillips","Governor","House"
1997-04-24,"The economic outlook and challenges facing monetary policy","http://www.federalreserve.gov/boarddocs/speeches/1997/19970424.htm","Laurence H. Meyer","1","Public"
1997-04-29,"G-7 economic summit meeting","http://www.federalreserve.gov/boarddocs/speeches/1997/19970429.htm","Alan Greenspan","3","Public"
1997-05-01,"Technological change and the design of bank supervisory policies","http://www.federalreserve.gov/boarddocs/speeches/1997/19970501.htm","Alan Greenspan","3","Public"
1997-05-03,"Financial reform and importance of the state charter","http://www.federalreserve.gov/boarddocs/speeches/1997/19970503.htm","Alan Greenspan","3","Public"
1997-05-08,"Current monetary policy","http://www.federalreserve.gov/boarddocs/speeches/1997/19970508.htm","Alan Greenspan","3","Public"
1997-05-22,"H.R. 10, the Financial Services Competitiveness Act of 1997","http://www.federalreserve.gov/boarddocs/testimony/1997/19970522.htm","Alan Greenspan","Chairman","House"
1997-05-23,"The role of banks in small business finance","http://www.federalreserve.gov/boarddocs/speeches/1997/19970523.htm","Laurence H. Meyer","1","Public"
1997-06-10,"The embrace of free markets","http://www.federalreserve.gov/boarddocs/speeches/1997/19970610.htm","Alan Greenspan","3","Public"
1997-06-18,"The changing financial landscape and umbrella supervision","http://www.federalreserve.gov/boarddocs/speeches/1997/19970618.htm","Susan M. Phillips","1","Public"
1997-06-18,"Models for neighborhood development and reinvestment","http://www.federalreserve.gov/boarddocs/speeches/1997/199706182.htm","Laurence H. Meyer","1","Public"
